owner,repo_name,owner_type,fork,homepage,size,stars_cnt,language,forks_count,topics,created_at
zju-vipa,Odyssey,Organization,False,,484653.0,303.0,Python,20.0,"['agent', 'embodied-agent', 'fine-tuning', 'large-language-model', 'large-language-models', 'llm', 'llm-agent', 'minecraft']",2024-06-12T21:50:58Z
VedankPurohit,LiveRecall,User,False,,45904.0,138.0,Python,9.0,"['computer-vision', 'memory', 'productivity', 'python', 'recall', 'sementic']",2024-06-13T03:20:54Z
bentoml,BentoDiffusion,Organization,False,https://bentoml.com,7933.0,361.0,Python,29.0,"['ai', 'diffusion-models', 'fine-tuning', 'kubernetes', 'lora', 'model-serving', 'stable-diffusion']",2023-06-12T19:33:53Z
xinyuwei-david,david-share,User,False,,886566.0,264.0,Jupyter Notebook,50.0,[],2020-07-25T16:10:16Z
vye16,shape-of-motion,User,False,,3587.0,959.0,Python,72.0,[],2024-05-17T22:47:58Z
PragmaticMachineLearning,docai,Organization,False,,4694.0,313.0,Python,29.0,[],2024-09-07T13:56:54Z
NVIDIA,aistore,Organization,False,https://aistore.nvidia.com,89326.0,1469.0,Go,201.0,"['batch-jobs', 'distributed-shuffle', 'erasure-coding', 'etl-offload', 'kubernetes', 'linear-scalability', 'multiple-backends', 'network-of-clusters', 'object-storage', 'sds', 'software-defined']",2017-12-14T01:07:30Z
LowLevelAI,GLARE,Organization,False,https://arxiv.org/pdf/2407.12431,3611.0,109.0,Python,4.0,"['codebook', 'eccv24', 'low-light-image-enhancement', 'normalizing-flow']",2024-07-08T04:55:13Z
OpenGVLab,VisionLLM,Organization,False,https://arxiv.org/abs/2305.11175,22868.0,1047.0,Python,46.0,"['generalist-model', 'large-language-models', 'object-detection']",2023-05-18T10:32:39Z
NVlabs,RVT,Organization,False,https://robotic-view-transformer-2.github.io/,994.0,335.0,Jupyter Notebook,47.0,"['object-manipulation', 'rlbench', 'robotics', 'rvt', 'rvt-2']",2023-06-12T16:15:41Z
goombalab,hydra,Organization,False,,1020.0,128.0,Python,9.0,[],2024-07-06T18:55:47Z
meta-llama,llama-models,Organization,False,,4321.0,6833.0,Python,1115.0,[],2024-06-27T22:14:09Z
AaronZ345,StyleSinger,User,False,https://aaronz345.github.io/StyleSingerDemo/,1887.0,372.0,Python,37.0,"['singing', 'singing-voice-synthesis', 'style-transfer', 'zero-shot']",2024-04-25T07:55:03Z
Stability-AI,sd3-ref,Organization,False,,25.0,101.0,Python,8.0,[],2024-06-12T16:33:49Z
xuanyuzhang21,EditGuard,User,False,https://xuanyuzhang21.github.io/project/editguard/,55940.0,212.0,Python,18.0,[],2023-12-12T09:39:57Z
opendilab,GenerativeRL,Organization,False,https://opendilab.github.io/GenerativeRL/,9301.0,125.0,Python,8.0,"['diffusion', 'diffusion-models', 'diffusion-policy', 'flow-model', 'generative-ai', 'generative-model', 'offline-rl', 'reinforcement-learning', 'rl']",2024-04-11T05:45:37Z
Kedreamix,Linly-Talker,User,False,https://kedreamix.github.io/,95297.0,2594.0,Python,424.0,[],2023-10-17T06:18:27Z
LiveBench,LiveBench,Organization,False,,15209.0,681.0,Python,56.0,[],2024-06-12T12:13:57Z
casys-kaist,LLMServingSim,Organization,False,,3546.0,108.0,Python,13.0,[],2024-07-23T13:44:30Z
spcl,MRAG,Organization,False,http://arxiv.org/abs/2406.05085,6874.0,205.0,Python,22.0,[],2024-05-16T16:00:08Z
zhenyuw16,GenArtist,User,False,,56185.0,119.0,Jupyter Notebook,8.0,[],2024-06-11T02:13:21Z
songrise,Artist,User,False,,11147.0,120.0,Python,12.0,[],2024-07-18T17:05:00Z
menloresearch,ichigo,Organization,False,,23229.0,2279.0,Python,129.0,[],2024-07-02T07:48:35Z
TUDB-Labs,MixLoRA,Organization,False,,3966.0,156.0,Python,15.0,"['mixlora', 'mlora']",2024-04-12T10:01:07Z
nico-bohlinger,one_policy_to_run_them_all,User,False,,93438.0,146.0,Python,15.0,[],2024-09-06T15:19:19Z
MrSecant,GaussianGrasper,User,False,,104351.0,131.0,Python,5.0,[],2024-03-13T18:14:22Z
fudan-generative-vision,dynamicPDB,Organization,False,https://fudan-generative-vision.github.io/dynamicPDB/,62986.0,751.0,Python,131.0,[],2024-09-01T04:34:29Z
IDEA-Research,Motion-X,Organization,False,https://motion-x-dataset.github.io,333082.0,675.0,Python,21.0,[],2023-06-12T02:26:37Z
potpie-ai,potpie,Organization,False,https://potpie.ai,2343.0,3997.0,Python,364.0,"['agents', 'ai-agents', 'ai-agents-framework', 'artificial-intelligence', 'developer-tools', 'devtools', 'generative-ai', 'knowledge-graph', 'rag']",2024-08-12T09:18:25Z
zjysteven,lmms-finetune,User,False,,13601.0,290.0,Python,30.0,"['finetuning', 'foundation-models', 'instruction-tuning', 'large-language-model', 'large-multimodal-models', 'llava', 'llava-next', 'multimodal', 'multimodal-large-language-models', 'qwen-vl', 'vision-language', 'visual-instruction-tuning']",2024-07-20T16:57:19Z
csyxwei,MasterWeaver,User,False,,2703.0,134.0,Python,0.0,[],2024-05-09T12:52:14Z
MS-Diffusion,MS-Diffusion,User,False,,31405.0,256.0,Python,13.0,[],2024-06-11T11:47:20Z
dleemiller,WordLlama,User,False,,33223.0,1437.0,Python,54.0,[],2024-06-12T00:50:09Z
ali-vilab,MimicBrush,Organization,False,https://xavierchen34.github.io/MimicBrush-Page/,16209.0,1250.0,Python,83.0,"['aigc', 'customization', 'image-composition', 'image-editing', 'texture-transfer']",2024-06-07T03:24:20Z
fixie-ai,ultravox,Organization,False,https://ultravox.ai,2536.0,3852.0,Python,288.0,"['ai', 'llm', 'slm', 'speech']",2024-05-29T23:17:05Z
Lightning-AI,tutorials,Organization,False,https://lightning-ai.github.io/tutorials,17475.0,312.0,Python,80.0,"['deep-learning', 'jupyter-notebook', 'lightning', 'machine-learning', 'notebooks', 'python-scripts', 'tutorials']",2021-03-05T15:43:11Z
neuml,rag,Organization,False,,3304.0,354.0,Python,29.0,"['ai', 'artificial-intelligence', 'large-language-models', 'llm', 'machine-learning', 'nlp', 'python', 'rag', 'retrieval-augmented-generation', 'search', 'txtai']",2024-07-25T19:49:54Z
henrysky,astroNN,User,False,http://astronn.readthedocs.io/,189852.0,196.0,Python,50.0,"['astronomy', 'astrophysics', 'neural-network', 'neural-networks', 'python', 'science', 'tensorflow']",2017-10-14T01:40:28Z
apple,ml-sigmoid-attention,Organization,False,,7812.0,264.0,Python,15.0,[],2024-09-05T04:41:45Z
mbzuai-metaverse,VOODOO3D-official,Organization,False,https://p0lyfish.github.io/voodoo3d,18063.0,158.0,Python,9.0,[],2023-11-29T12:47:03Z
EveripediaNetwork,fastc,Organization,False,,120.0,185.0,Python,10.0,"['bert', 'deberta', 'e5', 'embeddings', 'llm', 'minilm', 'roberta', 'text-classification', 'xlm-roberta']",2024-06-05T17:48:18Z
Hsu1023,DuQuant,User,False,https://arxiv.org/abs/2406.01721,2197.0,157.0,Python,11.0,"['large-language-models', 'llm', 'post-training-quantization', 'quantization']",2024-05-25T18:45:13Z
mingukkang,elatentlpips,User,False,https://mingukkang.github.io/Diffusion2GAN/,14514.0,143.0,Python,3.0,"['deep-learning', 'diffusion-distillation', 'latent-diffusion-models', 'one-step-diffusion-model', 'perceptual', 'perceptual-metrics', 'pytorch']",2024-08-26T17:38:38Z
zhangfaen,finetune-Qwen2-VL,User,False,,17236.0,354.0,Python,38.0,[],2024-09-04T15:48:55Z
jiahao-shao1,ChronoDepth,User,False,,9824.0,228.0,Python,6.0,[],2024-06-01T14:11:26Z
PacktPublishing,LLM-Engineers-Handbook,Organization,False,https://www.amazon.com/LLM-Engineers-Handbook-engineering-production/dp/1836200072/,4702.0,3146.0,Python,652.0,"['aws', 'fine-tuning-llm', 'genai', 'llm', 'llm-evaluation', 'llmops', 'ml-system-design', 'mlops', 'rag']",2024-04-09T10:56:03Z
ShenhanQian,VHAP,User,False,,50397.0,210.0,Python,24.0,[],2024-09-05T10:40:57Z
aiola-lab,whisper-medusa,Organization,False,,3898.0,831.0,Python,52.0,[],2024-07-17T13:05:55Z
filipbasara0,simple-diffusion,User,False,,34.0,121.0,Python,11.0,"['attention-mechanism', 'computer-vision', 'deep-learning', 'diffusion', 'image-generation', 'pytorch', 'stable-diffusion', 'unet']",2022-10-20T12:53:53Z
ShareGPT4Omni,ShareGPT4Video,Organization,False,https://sharegpt4video.github.io/,8105.0,1053.0,Python,41.0,"['chatgpt', 'gpt', 'gpt-4v', 'large-language-models', 'large-multimodal-models', 'large-video-language-models', 'large-vision-language-models', 'sora', 'text-to-video']",2024-06-06T13:25:36Z
Melanee-Melanee,Old-Persian-Cuneiform-OCR,User,False,https://github.com/Electronic-Old-Persian-Library,281933.0,139.0,Jupyter Notebook,9.0,"['ancient-language', 'ancient-persian', 'computer-vision', 'cuneiform', 'history', 'ocr', 'old-persian', 'old-persian-inscriptions', 'optical-character-recognition', 'translation']",2024-06-07T10:07:46Z
Zheng-Chong,CatVTON,User,False,,17138.0,1320.0,Python,155.0,"['diffusion-models', 'fashion', 'try-on']",2024-07-02T14:29:30Z
donahowe,AutoStudio,User,False,https://arxiv.org/abs/2406.01388,21101.0,438.0,Jupyter Notebook,33.0,"['image-generation', 'multi-turn-dialogue', 'text-to-image-generation']",2024-06-03T11:53:21Z
bosch-aisecurity-aishield,watchtower,Organization,False,https://www.boschaishield.com/,22117.0,191.0,PureBasic,15.0,"['adversarial-attacks', 'aisec', 'keras', 'mlops', 'mlsecops', 'pytorch', 'safetensors', 'scikit-learn', 'security', 'security-automation', 'security-tools', 'supply-chain', 'tensorflow', 'vulnerability-scanners']",2023-09-21T15:09:17Z
agent-husky,Husky-v1,Organization,False,,6612.0,341.0,Python,30.0,[],2024-06-07T05:38:00Z
PJLab-ADG,DriveArena,Organization,False,https://pjlab-adg.github.io/DriveArena/,686685.0,327.0,Python,24.0,[],2024-07-30T07:34:00Z
caoyunkang,AdaCLIP,User,False,,5578.0,211.0,Python,9.0,[],2024-07-08T08:15:14Z
niledatabase,niledatabase,Organization,False,https://thenile.dev,389146.0,873.0,MDX,52.0,"['authentication', 'multiregion', 'multitenant', 'postgresql', 'saas', 'serverless', 'vector']",2023-06-21T18:23:30Z
AnswerDotAI,byaldi,Organization,False,,2038.0,775.0,Python,81.0,"['colbert', 'colpali', 'multi-modal', 'nlp', 'rag', 'reranking', 'retrieval']",2024-09-04T22:44:04Z
biodatlab,thonburian-whisper,Organization,False,https://huggingface.co/spaces/biodatlab/whisper-thai-demo,805.0,129.0,Jupyter Notebook,14.0,"['automatic-speech-recognition', 'huggingface-transformers', 'thai', 'transformers', 'whisper']",2022-12-13T05:10:44Z
claudiom4sir,StableVSR,User,False,https://arxiv.org/abs/2311.15908,89.0,139.0,Python,5.0,"['diffusion-models', 'perceptual-quality', 'temporal-consistency', 'video-super-resolution']",2023-11-27T14:06:43Z
SqueezeAILab,TinyAgent,Organization,False,https://arxiv.org/abs/2409.00608,14033.0,387.0,Python,61.0,[],2024-05-27T21:52:23Z
jialuechen,torchquant,User,False,https://jialuechen.github.io/torchquant/,2821.0,160.0,Python,22.0,"['automatic-differentiation', 'deep-learning', 'derivatives-pricing', 'malliavin-calculus', 'numerical-methods', 'optimal-transport', 'pytorch', 'quantitative-finance', 'quantlib', 'risk-management']",2022-01-06T04:26:18Z
Zeyi-Lin,LLM-Finetune,User,False,,2026.0,375.0,Jupyter Notebook,55.0,[],2024-06-10T16:24:19Z
mazurowski-lab,finetune-SAM,Organization,False,https://arxiv.org/abs/2404.09957,1687.0,187.0,Python,32.0,"['finetune', 'foundation-models', 'medical-imaging', 'sam']",2024-04-09T17:09:33Z
IntelLabs,RAG-FiT,Organization,False,https://intellabs.github.io/RAG-FiT/,947.0,737.0,Python,56.0,"['evaluation', 'fine-tuning', 'information-retrieval', 'llm', 'nlp', 'question-answering', 'rag', 'semantic-search']",2024-07-23T13:20:35Z
tintn,vision-transformer-from-scratch,User,False,,1401.0,178.0,Jupyter Notebook,33.0,"['computer-vision', 'image-classification', 'transformers', 'vision-transformer']",2023-03-06T09:46:23Z
qubvel-org,segmentation_models.pytorch,Organization,False,https://smp.readthedocs.io/,14774.0,10350.0,Python,1736.0,"['computer-vision', 'deeplab-v3-plus', 'deeplabv3', 'dpt', 'fpn', 'image-processing', 'image-segmentation', 'imagenet', 'models', 'pretrained-weights', 'pspnet', 'pytorch', 'segformer', 'segmentation', 'segmentation-models', 'semantic-segmentation', 'transformers', 'unet', 'unet-pytorch', 'unetplusplus']",2019-03-01T16:21:21Z
EleutherAI,delphi,Organization,False,https://arxiv.org/pdf/2410.13928,19002.0,169.0,Python,25.0,[],2024-06-18T15:26:29Z
zju3dv,GVHMR,Organization,False,https://zju3dv.github.io/gvhmr,9589.0,712.0,Jupyter Notebook,54.0,[],2024-09-04T06:08:24Z
irom-princeton,dppo,Organization,False,https://diffusion-ppo.github.io,431.0,437.0,Python,44.0,[],2024-09-04T00:58:46Z
wdragondragon,apex-yolov5,User,False,,195515.0,184.0,Python,10.0,[],2023-08-01T16:21:38Z
bronyayang,Law_of_Vision_Representation_in_MLLMs,User,False,https://arxiv.org/abs/2408.16357,82278.0,153.0,Python,8.0,[],2024-06-28T07:13:06Z
Sumandora,remove-refusals-with-transformers,User,False,,658.0,750.0,Python,109.0,[],2024-05-16T10:01:21Z
Master-PLC,FreDF,User,False,,1861.0,182.0,Shell,15.0,[],2024-02-02T12:25:34Z
kolenaIO,autoarena,Organization,False,https://www.kolena.com/autoarena/,2643.0,103.0,TypeScript,8.0,"['ai', 'evaluation', 'hacktoberfest', 'llm', 'llm-evaluation', 'rag', 'testing']",2024-08-28T19:55:28Z
Plachtaa,seed-vc,User,False,,67867.0,2257.0,Python,252.0,"['singing-voice-conversion', 'voice-conversion']",2024-09-03T12:22:25Z
adithya-s-k,omniparse,User,False,https://omniparse.cognitivelab.in/,606.0,6484.0,Python,524.0,"['ingestion-api', 'ocr', 'omniparser', 'parse-server', 'parser-library', 'vision-transformer', 'web-crawler', 'whisper-api']",2024-06-04T18:09:38Z
apple,ml-superposition-prompting,Organization,False,,624.0,143.0,Python,18.0,[],2024-07-19T19:01:33Z
orbital-materials,orb-models,Organization,False,,3715.0,411.0,Python,54.0,[],2024-08-30T15:27:25Z
hkust-nlp,dart-math,Organization,False,https://hkust-nlp.github.io/dart-math/,4383.0,101.0,Jupyter Notebook,4.0,"['deep-learning', 'llm', 'llm-evaluation', 'llm-inference', 'llm-training', 'mathematics', 'nlp']",2024-05-29T09:13:03Z
zehuiwu,MMML,User,False,,66.0,105.0,Python,14.0,[],2023-08-02T11:53:33Z
haoheliu,SemantiCodec-inference,User,False,,2065.0,196.0,Python,15.0,[],2024-05-04T16:56:43Z
Linwei-Chen,FreqFusion,User,False,,46785.0,383.0,Jupyter Notebook,16.0,[],2024-08-15T06:52:38Z
eldar,flash3d,User,False,,14471.0,196.0,Python,16.0,[],2024-07-19T13:06:25Z
Keytoyze,VisionTS,User,False,https://arxiv.org/pdf/2408.17253,3310.0,204.0,Python,16.0,"['computer-vision', 'deep-learning', 'time-series']",2024-08-26T17:44:52Z
instantX-research,CSGO,Organization,False,https://csgo-gen.github.io/,63851.0,327.0,Jupyter Notebook,10.0,[],2024-07-05T14:38:29Z
uw-nsl,SafeDecoding,Organization,False,https://arxiv.org/abs/2402.08983,174506.0,129.0,Jupyter Notebook,11.0,[],2024-02-18T03:42:14Z
pinder-org,pinder,Organization,False,https://pinder-org.github.io/pinder/,29677.0,114.0,Python,7.0,[],2024-07-19T00:57:12Z
DataTalksClub,llm-zoomcamp,Organization,False,,2282.0,3271.0,Jupyter Notebook,554.0,[],2024-03-26T14:53:20Z
HZAI-ZJNU,Mamba-YOLO,Organization,False,,8762.0,384.0,Python,40.0,[],2024-06-09T06:34:12Z
jjihwan,SV3D-fine-tune,User,False,,14329.0,107.0,Python,5.0,[],2024-06-09T07:00:56Z
lmarena,arena-hard-auto,Organization,False,,42465.0,782.0,Python,97.0,[],2023-11-04T03:54:08Z
snap-research,weights2weights,Organization,False,,63420.0,141.0,Jupyter Notebook,8.0,[],2024-05-28T17:18:24Z
LazyAGI,LazyLLM,Organization,False,https://docs.lazyllm.ai/,8755.0,1596.0,Python,92.0,"['agents', 'ai-agent', 'data', 'deep-learning', 'documentation-tool', 'finetuning', 'framework', 'knowlege-graph', 'langchain', 'lazyllm', 'llamaindex', 'llm', 'llms', 'rag']",2024-06-04T05:01:45Z
neonwatty,meme-search,User,False,https://neonwatty.github.io/meme-search,15493.0,540.0,Ruby,23.0,"['docker', 'machine-learning', 'python', 'ruby-on-rails', 'self-hosted', 'vector-database', 'vision-language-model']",2024-06-08T22:08:51Z
Cornell-RelaxML,qtip,Organization,False,,861.0,128.0,Python,13.0,[],2024-06-17T05:21:44Z
RobvanGastel,dinov2-finetune,User,False,,58576.0,129.0,Jupyter Notebook,11.0,[],2024-06-01T11:02:59Z
Costwen,Ouroboros3D,User,False,https://costwen.github.io/Ouroboros3D/,25751.0,116.0,Python,8.0,[],2024-05-30T09:14:01Z
DreamScene-Project,DreamScene,User,False,https://dreamscene-project.github.io/,28357.0,149.0,Python,10.0,"['3d-aigc', 'gaussian-splatting', 'generative-art', 'text-to-3d']",2024-03-16T08:29:01Z
norse,norse,Organization,False,https://norse.github.io/norse/,114558.0,726.0,Python,88.0,"['autograd', 'deep-learning', 'gpu', 'machine-learning', 'neural-network', 'neuromorphic', 'pytorch', 'pytorch-lightning', 'spiking-neural-networks', 'tensor']",2019-11-22T00:00:15Z
felafax,felafax,Organization,False,https://felafax.ai,3520.0,558.0,Jupyter Notebook,35.0,"['ai', 'infra', 'jax', 'xla']",2024-06-17T09:41:34Z
Drexubery,ViewCrafter,User,False,,160729.0,1265.0,Python,46.0,[],2024-07-22T07:05:49Z
xlite-dev,CUDA-Learn-Notes,Organization,False,,274794.0,3539.0,Cuda,381.0,"['cuda', 'cuda-kernels', 'cuda-programming', 'cuda-toolkit', 'cudnn', 'cutlass', 'flash-attention', 'flash-mla', 'gemm', 'gemv', 'hgemm']",2022-12-17T08:19:52Z
mayuelala,FollowYourCanvas,User,False,https://follow-your-canvas.github.io/,9712.0,123.0,Python,5.0,[],2024-08-22T02:20:47Z
DulyHao,AlphaForge,User,False,,198.0,171.0,Python,42.0,[],2024-02-09T07:11:33Z
OpenInterpreter,01,Organization,False,https://01.openinterpreter.com/,52383.0,5057.0,Python,538.0,[],2024-01-11T05:45:13Z
Mxoder,LLM-from-scratch,User,False,,1854.0,184.0,Jupyter Notebook,26.0,[],2024-04-29T02:33:03Z
jnnan,trumans_utils,User,False,,52141.0,162.0,Python,7.0,[],2024-05-29T16:47:22Z
karthik-codex,Autogen_GraphRAG_Ollama,User,False,,284.0,693.0,Python,138.0,[],2024-07-07T22:14:14Z
6drf21e,ChatTTS_colab,User,False,,2054.0,2383.0,Python,299.0,"['chattts', 'colab-notebook', 'text-to-speech']",2024-05-30T04:09:54Z
ntnu-arl,aerial_gym_simulator,Organization,False,https://ntnu-arl.github.io/aerial_gym_simulator/,317138.0,459.0,Python,75.0,[],2023-04-04T20:48:46Z
SYSTRAN,faster-whisper,Organization,False,,38339.0,15557.0,Python,1307.0,"['deep-learning', 'inference', 'openai', 'quantization', 'speech-recognition', 'speech-to-text', 'transformer', 'whisper']",2023-02-11T09:17:27Z
foges,whisper-dictation,User,False,,56.0,185.0,Python,37.0,[],2023-03-21T06:58:03Z
AutoCodeRoverSG,auto-code-rover,Organization,False,,132448.0,2921.0,Python,323.0,[],2024-04-08T05:34:14Z
microsoft,vattention,Organization,False,,46368.0,348.0,C,27.0,[],2024-05-13T07:05:15Z
serengil,deepface,User,False,https://bit.ly/deepface-py,55640.0,18744.0,Python,2571.0,"['age-prediction', 'arcface', 'deep-learning', 'deepface', 'deepid', 'emotion-recognition', 'face-analysis', 'face-recognition', 'facenet', 'facial-expression-recognition', 'facial-recognition', 'gender-prediction', 'machine-learning', 'openface', 'python', 'race-classification', 'vgg-face']",2020-02-08T20:42:28Z
JiuTian-VL,JiuTian-LION,Organization,False,,10175.0,138.0,Jupyter Notebook,6.0,[],2023-07-22T01:33:50Z
thuml,Transolver,Organization,False,,6901.0,156.0,Python,19.0,[],2024-05-26T08:54:00Z
mayuelala,FollowYourEmoji,User,False,,39840.0,387.0,Python,31.0,[],2024-07-03T07:45:19Z
YangLing0818,buffer-of-thought-llm,User,False,https://openreview.net/forum?id=ANO1i9JPtb,1124.0,627.0,Python,61.0,"['chain-of-thought-reasoning', 'large-language-models', 'llm-reasoning', 'retrieval-augmented-generation']",2024-06-06T14:12:48Z
Camb-ai,MARS5-TTS,Organization,False,https://www.camb.ai,11686.0,2725.0,Jupyter Notebook,229.0,"['prosody', 'speech', 'speech-synthesis', 'text-to-speech', 'voice-cloneai', 'voice-cloning']",2024-06-03T11:23:05Z
alibaba-yuanjing-aigclab,ViViD,Organization,False,,1773.0,519.0,Python,43.0,[],2024-05-20T02:09:51Z
lucidrains,rectified-flow-pytorch,User,False,,3573.0,280.0,Python,16.0,"['artificial-intelligence', 'deep-learning', 'flow-matching', 'rectified-flow']",2024-07-17T14:29:52Z
ualsg,global-streetscapes,Organization,False,,281170.0,154.0,Jupyter Notebook,20.0,[],2023-10-04T09:18:57Z
welch-lab,MultiVelo,Organization,False,,287843.0,110.0,Python,11.0,[],2021-12-11T21:09:00Z
fufankeji,fufan-chat-api,User,False,,179579.0,224.0,Python,54.0,[],2024-06-07T06:04:56Z
DachunKai,EvTexture,User,False,https://dachunkai.github.io/evtexture.github.io/,16873.0,1123.0,Python,72.0,"['event-camera', 'video-restoration', 'video-super-resolution']",2024-05-18T06:28:29Z
WooooDyy,AgentGym,User,False,https://arxiv.org/abs/2406.04151,43638.0,449.0,Python,56.0,"['agent', 'large-language-models', 'llm', 'llm-based-agent']",2024-05-27T08:00:04Z
bytedance,flux,Organization,False,,2700.0,895.0,C++,58.0,"['cuda', 'cutlass', 'gpu', 'pytorch']",2024-03-01T22:21:42Z
guoyww,AnimateDiff,User,False,https://animatediff.github.io,61812.0,11310.0,Python,925.0,[],2023-06-17T11:14:28Z
Fangkang515,CE3D,User,False,,76250.0,308.0,Python,5.0,[],2024-07-09T06:37:57Z
NVIDIA,TransformerEngine,Organization,False,https://docs.nvidia.com/deeplearning/transformer-engine/user-guide/index.html,9703.0,2370.0,Python,406.0,"['cuda', 'deep-learning', 'fp8', 'gpu', 'jax', 'machine-learning', 'python', 'pytorch']",2022-09-20T15:20:26Z
lucidrains,genie2-pytorch,User,False,,1397.0,145.0,Python,12.0,"['artificial-intelligence', 'attention', 'deep-learning', 'transformers', 'world-models']",2024-08-28T16:40:40Z
zhenye234,xcodec,User,False,,1857.0,201.0,Python,13.0,"['audio', 'audio-codec', 'codec', 'gpt', 'language-model', 'music', 'self-supervised-learning', 'semantic', 'sound', 'speech', 'speech-language-model', 'text-to-music', 'text-to-sound', 'text-to-speech', 'tokenizer', 'vall-e']",2024-05-26T14:36:40Z
VisionRush,DeepFakeDefenders,User,False,,691.0,637.0,Python,78.0,[],2024-08-31T09:39:48Z
rainmaker22,SMART,User,False,,5130.0,136.0,Python,18.0,[],2024-06-17T05:29:00Z
opslane,opslane,Organization,False,https://opslane.com,25270.0,709.0,Python,33.0,"['aiops', 'alerts', 'copilot', 'debugging', 'gen-ai', 'monitoring', 'oncall', 'oncall-engineers', 'rag', 'runbooks', 'site-reliability-engineering', 'sre']",2024-06-04T15:57:16Z
ShareGPT4Omni,ShareGPT4V,Organization,False,https://sharegpt4v.github.io/,659.0,214.0,Python,5.0,"['chatgpt', 'eccv2024', 'gpt', 'gpt-4v', 'gpt4v', 'instruction-tuning', 'language-model', 'large-language-models', 'large-multimodal-models', 'large-vision-language-models', 'vision-language-model']",2024-06-06T13:12:23Z
ethz-asl,ssc_exploration,Organization,False,,959.0,100.0,C++,11.0,"['3d', 'completion', 'exploration', 'mapping', 'mav', 'planning', 'robotics', 'sc-explorer', 'scene', 'ssc']",2022-08-17T08:19:56Z
liuff19,Physics3D,User,False,https://liuff19.github.io/Physics3D/,14678.0,187.0,Python,11.0,"['3d-aigc', '4d', 'physics-simulation']",2024-06-06T12:36:50Z
SamurAIGPT,Text-To-Video-AI,Organization,False,https://www.vadoo.tv/text-to-video-ai,16523.0,500.0,Jupyter Notebook,173.0,"['ai-video-generator', 'artificial-intelligence', 'image-to-video', 'image-to-video-generation', 'sora-video-ai', 'stable-diffusion', 'text-to-image', 'text-to-video', 'text-to-video-generation', 'video-diffusion', 'video-diffusion-model', 'video-editing', 'video-generation']",2024-06-06T12:06:51Z
TingtingLiao,CAR,User,False,https://tingtingliao.github.io/CAR/,87191.0,118.0,Python,6.0,[],2023-03-03T02:38:20Z
Tencent,HunyuanDiT,Organization,False,https://dit.hunyuan.tencent.com/,120914.0,4060.0,Jupyter Notebook,338.0,[],2024-05-10T08:47:15Z
ZhenglinZhou,STAR,User,False,,1004.0,187.0,Python,23.0,[],2023-03-19T15:15:27Z
data-prep-kit,data-prep-kit,Organization,False,https://data-prep-kit.github.io/data-prep-kit/,229773.0,624.0,HTML,193.0,"['code-quality', 'data', 'data-prep', 'data-preparation', 'data-preprocessing', 'data-preprocessing-pipelines', 'datacuration', 'datarecipes', 'deduplication', 'finetuning', 'large-language-models', 'large-scale-data-processing', 'llm', 'llmapps', 'malware', 'python', 'ray', 'spark']",2024-04-08T23:43:52Z
NVlabs,EAGLE,Organization,False,https://arxiv.org/abs/2501.14818,80372.0,661.0,Python,40.0,"['demo', 'eagle', 'gpt4', 'huggingface', 'large-language-models', 'llama', 'llama3', 'llava', 'llm', 'lmm', 'lvlm', 'mllm', 'nvdia']",2024-06-27T07:22:52Z
QmiAI,Qmedia,Organization,False,,39096.0,547.0,TypeScript,69.0,"['content', 'content-search', 'rag', 'search', 'search-engine', 'video']",2024-05-26T12:39:53Z
moon-hotel,TransformerTranslation,User,False,,33616.0,149.0,Python,38.0,['transformer'],2021-06-23T12:41:14Z
Picsart-AI-Research,StreamingT2V,Organization,False,https://streamingt2v.github.io/,23359.0,1534.0,Python,154.0,['long-video-generation'],2024-03-18T04:33:26Z
Coder-Yu,SELFRec,User,False,,33607.0,573.0,Python,80.0,[],2021-09-14T14:15:59Z
ironjr,grokfast,User,False,https://arxiv.org/abs/2405.20233,881.0,555.0,Python,46.0,"['deep-learning', 'grokking', 'machine-learning', 'optimization', 'signal-processing']",2024-05-30T16:53:29Z
RulinShao,retrieval-scaling,User,False,https://retrievalscaling.github.io/,2260.0,196.0,Python,18.0,"['retrieval-augmented-generation', 'scaling']",2024-06-06T21:47:16Z
aitomatic,semikong,Organization,False,,1641.0,329.0,Python,37.0,[],2024-06-15T22:52:53Z
win4r,GraphRAG4OpenWebUI,User,False,https://www.youtube.com/@AIsuperdomain,57.0,495.0,Python,109.0,"['aiagents', 'graphrag', 'llms', 'ollama', 'openai', 'openwebui', 'rag']",2024-07-15T02:42:43Z
Mrkomiljon,Live_Portrait_Monitor,User,False,,43247.0,274.0,Python,42.0,[],2024-07-16T06:11:15Z
QwenLM,Qwen2.5-VL,Organization,False,,85193.0,9904.0,Jupyter Notebook,697.0,[],2024-08-29T08:30:38Z
tatsy,torchmcubes,User,False,,466.0,214.0,Cuda,47.0,[],2019-12-26T13:21:03Z
ant-research,DreamLIP,Organization,False,https://zyf0619sjtu.github.io/dream-lip/,4701.0,129.0,Python,2.0,[],2024-03-25T13:06:02Z
bracesproul,gen-ui-python,User,False,,1001.0,315.0,TypeScript,84.0,[],2024-06-05T18:31:07Z
abgulati,LARS,User,False,https://www.youtube.com/watch?v=Mam1i86n8sU&ab_channel=AbheekGulati,40159.0,580.0,Python,52.0,"['genai', 'llms', 'rag']",2024-06-05T16:31:08Z
